DATE,ConsumedQuantity
2019-09-03,118.93347
2019-09-04,120.0
2019-09-05,120.0
2019-09-06,119.60015
2019-09-07,119.9667
2019-09-08,120.0
2019-09-09,116.93341
2019-09-10,110.86682
2019-09-11,119.900116
2019-09-12,120.0
2019-09-13,119.417026
2019-09-14,118.833496
2019-09-15,119.983353
2019-09-16,118.66697
2019-09-17,119.73364
2019-09-18,119.583813
2019-09-19,112.517085
2019-09-20,120.0
2019-09-21,119.983353
2019-09-22,119.0
2019-09-23,120.0
2019-09-24,120.0
2019-09-25,120.0
2019-09-26,119.93341
2019-09-27,119.98335
2019-09-28,116.850037
2019-09-29,112.0
2019-09-30,113.0
2019-10-01,120.0
2019-10-02,117.983353
2019-10-03,111.93341
2019-10-04,115.93341
2019-10-05,120.0
2019-10-06,119.93341
2019-10-07,120.0
2019-10-08,117.383602
2019-10-09,95.883443
2019-10-10,120.0
2019-10-11,119.80015
2019-10-12,119.850093
2019-10-13,120.0
2019-10-14,120.0
2019-10-15,119.983353
2019-10-16,119.983353
2019-10-17,119.800112
2019-10-18,119.80015
2019-10-19,119.60022
2019-10-20,109.60014
2019-10-21,119.60014
2019-10-22,119.73348
2019-10-23,114.46688
2019-10-24,115.91676
2019-10-25,119.7334
2019-10-26,119.60022
2019-10-27,119.93341
2019-10-28,119.916763
2019-10-29,115.983353
2019-10-30,120.0
2019-10-31,120.0
2019-11-01,120.0
2019-11-02,118.0
2019-11-03,113.0
2019-11-04,120.0
2019-11-05,120.0
2019-11-06,118.0
2019-11-07,117.916705
2019-11-08,120.0
2019-11-09,120.0
2019-11-10,120.0
2019-11-11,120.0
2019-11-12,119.983353
2019-11-13,119.98335
2019-11-14,120.0
2019-11-15,119.983353
2019-11-16,120.0
2019-11-17,120.0
2019-11-18,120.0
2019-11-19,120.0
2019-11-20,120.0
2019-11-21,119.83343499999998
2019-11-22,119.983353
2019-11-23,119.98335
2019-11-24,120.0
2019-11-25,120.0
2019-11-26,120.0
2019-11-27,120.0
2019-11-28,120.0
2019-11-29,118.0
2019-11-30,120.0
2019-12-01,120.0
2019-12-02,120.0
2019-12-03,120.0
2019-12-04,120.0
2019-12-05,119.933372
2019-12-06,119.966703
2019-12-07,120.0
2019-12-08,118.0
2019-12-09,120.0
2019-12-10,119.916705
2019-12-11,118.0
2019-12-12,120.0
2019-12-13,119.916705
2019-12-14,120.0
2019-12-15,119.900038
2019-12-16,120.0
2019-12-17,120.0
2019-12-18,120.0
2019-12-19,120.0
2019-12-20,111.983353
2019-12-21,119.933352
2019-12-22,120.0
2019-12-23,120.0
2019-12-24,120.0
2019-12-25,116.0
2019-12-26,119.98335
2019-12-27,117.933352
2019-12-28,118.0
2019-12-29,120.0
2019-12-30,120.0
2019-12-31,120.0
2020-01-01,120.0
2020-01-02,120.0
2020-01-03,108.983353
2020-01-04,107.983353
2020-01-05,117.0
2020-01-06,120.0
2020-01-07,117.950059
2020-01-08,118.0
2020-01-09,120.0
2020-01-10,120.0
2020-01-11,120.0
2020-01-12,120.0
2020-01-13,120.0
