,Amount,RI (1 year),RI (3 year),EA Price
0,5,387.57591842846676,291.02591842846675,590.9759184284669
1,6,346.90674417846674,231.04674417846678,590.9759184284669
2,7,370.44,235.26999999999998,590.9759184284669
