,Amount,RI (1 year),RI (3 year),EA Price
0,4,377.95970663192384,300.7197066319238,540.6797066319239
1,5,337.82510419967286,241.27510419967285,540.6797066319239
2,6,331.77453808999996,215.91453808999998,540.6797066319239
3,7,370.44,235.26999999999998,540.6797066319239
