,Amount,RI (1 year),RI (3 year),EA Price
0,5,382.5232603149707,285.97326031497073,585.9232603149707
1,6,342.2902295145703,226.43022951457027,585.9232603149707
2,7,370.44,235.26999999999998,585.9232603149707
