DATE,Cost,InstanceId,ResourceLocation,MeterId,UnitOfMeasure,ConsumedQuantity
06/01/2021 00:00:00,90.2747021438217,/subscriptions/40fa9e7c-d9c1-443e-9274-082880afc961/resourceGroups/FARGLORY_SAP/providers/Microsoft.Compute/virtualMachines/FarBPM,southeastasia,2dff75ae-bd6e-417e-918d-8542c8ea3423,10 Hours,24.0000000000
06/02/2021 00:00:00,90.2747021438217,/subscriptions/40fa9e7c-d9c1-443e-9274-082880afc961/resourceGroups/FARGLORY_SAP/providers/Microsoft.Compute/virtualMachines/FarBPM,southeastasia,2dff75ae-bd6e-417e-918d-8542c8ea3423,10 Hours,24.0000000000
06/03/2021 00:00:00,360.8110456015663,/subscriptions/40fa9e7c-d9c1-443e-9274-082880afc961/resourceGroups/FARGLORY_SAP/providers/Microsoft.Compute/virtualMachines/FG-SLT-PRD,southeastasia,a65937ec-6a71-4057-b638-c87221a92cd6,10 Hours,23.9833500000
06/01/2021 00:00:00,90.2747021438217,/subscriptions/40fa9e7c-d9c1-443e-9274-082880afc961/resourceGroups/FG_SMT_IT/providers/Microsoft.Compute/virtualMachines/FG-SMIT,southeastasia,2dff75ae-bd6e-417e-918d-8542c8ea3423,10 Hours,24.0000000000
06/03/2021 00:00:00,90.2747021438217,/subscriptions/40fa9e7c-d9c1-443e-9274-082880afc961/resourceGroups/FARGLORY_SAP/providers/Microsoft.Compute/virtualMachines/FarBPM,southeastasia,2dff75ae-bd6e-417e-918d-8542c8ea3423,10 Hours,24.0000000000
06/01/2021 00:00:00,361.0615320394180,/subscriptions/40fa9e7c-d9c1-443e-9274-082880afc961/resourceGroups/FARGLORY_SAP/providers/Microsoft.Compute/virtualMachines/FG-SLT-PRD,southeastasia,a65937ec-6a71-4057-b638-c87221a92cd6,10 Hours,24.0000000000
06/01/2021 00:00:00,90.2747021438217,/subscriptions/40fa9e7c-d9c1-443e-9274-082880afc961/resourceGroups/FARGLORY_SAP/providers/Microsoft.Compute/virtualMachines/FG-WDP-DEV,southeastasia,2dff75ae-bd6e-417e-918d-8542c8ea3423,10 Hours,24.0000000000
06/02/2021 00:00:00,90.2747021438217,/subscriptions/40fa9e7c-d9c1-443e-9274-082880afc961/resourceGroups/FARGLORY_SAP/providers/Microsoft.Compute/virtualMachines/FG-WDP-DEV,southeastasia,2dff75ae-bd6e-417e-918d-8542c8ea3423,10 Hours,24.0000000000
06/02/2021 00:00:00,40.7490601862405,/subscriptions/40fa9e7c-d9c1-443e-9274-082880afc961/resourceGroups/FG_WEBEDS/providers/Microsoft.Compute/virtualMachines/FGWEDSv1,southeastasia,2dff75ae-bd6e-417e-918d-8542c8ea3423,10 Hours,10.8333500000
06/02/2021 00:00:00,90.2747021438217,/subscriptions/40fa9e7c-d9c1-443e-9274-082880afc961/resourceGroups/FARGLORY_AD/providers/Microsoft.Compute/virtualMachines/FargloryADMT,southeastasia,2dff75ae-bd6e-417e-918d-8542c8ea3423,10 Hours,24.0000000000
06/03/2021 00:00:00,90.2747021438217,/subscriptions/40fa9e7c-d9c1-443e-9274-082880afc961/resourceGroups/FARGLORY_SAP/providers/Microsoft.Compute/virtualMachines/FG-WDP-DEV,southeastasia,2dff75ae-bd6e-417e-918d-8542c8ea3423,10 Hours,24.0000000000
06/02/2021 00:00:00,90.2747021438217,/subscriptions/40fa9e7c-d9c1-443e-9274-082880afc961/resourceGroups/FG_SMT_IT/providers/Microsoft.Compute/virtualMachines/FG-SMIT,southeastasia,2dff75ae-bd6e-417e-918d-8542c8ea3423,10 Hours,24.0000000000
06/02/2021 00:00:00,361.0615320394180,/subscriptions/40fa9e7c-d9c1-443e-9274-082880afc961/resourceGroups/FARGLORY_SAP/providers/Microsoft.Compute/virtualMachines/FG-SLT-PRD,southeastasia,a65937ec-6a71-4057-b638-c87221a92cd6,10 Hours,24.0000000000
06/02/2021 00:00:00,90.2747021438217,/subscriptions/40fa9e7c-d9c1-443e-9274-082880afc961/resourceGroups/FG_FSM/providers/Microsoft.Compute/virtualMachines/FSMSapConnect,southeastasia,2dff75ae-bd6e-417e-918d-8542c8ea3423,10 Hours,24.0000000000
06/03/2021 00:00:00,90.2747021438217,/subscriptions/40fa9e7c-d9c1-443e-9274-082880afc961/resourceGroups/FG_SMT_IT/providers/Microsoft.Compute/virtualMachines/FG-SMIT,southeastasia,2dff75ae-bd6e-417e-918d-8542c8ea3423,10 Hours,24.0000000000
06/01/2021 00:00:00,115.3393011023315,/subscriptions/40fa9e7c-d9c1-443e-9274-082880afc961/resourceGroups/FARGLORY_SAP/providers/Microsoft.Compute/virtualMachines/FG-SLT-DEV,southeastasia,a65937ec-6a71-4057-b638-c87221a92cd6,10 Hours,7.6666800000
06/01/2021 00:00:00,90.2747021438217,/subscriptions/40fa9e7c-d9c1-443e-9274-082880afc961/resourceGroups/FG_FSM/providers/Microsoft.Compute/virtualMachines/FSMSapConnect,southeastasia,2dff75ae-bd6e-417e-918d-8542c8ea3423,10 Hours,24.0000000000
06/01/2021 00:00:00,90.2747021438217,/subscriptions/40fa9e7c-d9c1-443e-9274-082880afc961/resourceGroups/FARGLORY_SAP/providers/Microsoft.Compute/virtualMachines/FG-WDP-PRD,southeastasia,2dff75ae-bd6e-417e-918d-8542c8ea3423,10 Hours,24.0000000000
